"id","time","cpu_sec_idle","disk_av_per","disk_read","disk_write","net_receive","mem_pressure","mem_av_per","forks_total","intr","load1","load5","load15","receive_drop","receive_errs","transmit_packets","tcp_sock_alloc","tcp_sock_inuse","tcp_sock_mem","udp_sock_inuse","udp_sock_mem","ipv4_sock_inuse","est_conn","lis_conn","open_fds","attack"
1,"2023-09-03 08:45:54","378692.265","70.7536","1272927232","35289375744","5153","10133","73.746","10698297","563637649","0.41","0.64","0.77",0,0,40,185,0,17,0,11,8,2,1,9,0
2,"2023-09-03 08:45:59","378696.1175","70.7536","1272927232","35289482240","7697","10133","73.7011","10698680","563647151","0.38","0.63","0.77",0,0,55,179,0,20,0,11,8,2,1,9,0
3,"2023-09-03 08:46:03","378699.945","70.7536","1272927232","35289834496","9843","10133","73.7113","10699109","563659957","0.35","0.62","0.76",0,0,70,179,0,17,0,11,8,2,1,9,0
4,"2023-09-03 08:46:08","378703.6325","70.7536","1272927232","35290174464","12317","10133","73.734","10699508","563669014","0.96","0.75","0.8",0,0,86,182,0,20,0,9,6,2,1,9,0
5,"2023-09-03 08:46:12","378707.495","70.7536","1272927232","35290481664","14421","10133","73.7539","10699914","563681393","0.88","0.73","0.8",0,0,102,184,0,16,0,9,8,2,1,9,0
6,"2023-09-03 08:46:17","378711.2425","70.7536","1272927232","35290776576","16895","10133","73.6736","10700391","563689886","0.88","0.73","0.8",0,0,117,187,0,21,0,10,8,2,1,9,0
7,"2023-09-03 08:46:22","378715.04","70.7536","1272927232","35290985472","19369","10133","73.6112","10700804","563702133","0.81","0.72","0.79",0,0,135,183,0,18,0,9,6,2,1,9,0
8,"2023-09-03 08:46:26","378718.815","70.7536","1272927232","35292668928","21885","10133","73.6324","10701213","563713097","0.75","0.71","0.79",0,0,151,185,0,15,0,9,8,2,1,9,0
9,"2023-09-03 08:46:31","378722.49","70.7536","1272927232","35293086720","23989","10133","73.6117","10701612","563722765","0.69","0.7","0.78",0,0,167,184,0,17,0,10,8,2,1,9,0
10,"2023-09-03 08:46:35","378726.4425","70.7536","1272927232","35293422592","26505","10133","73.5641","10702024","563733073","0.63","0.68","0.78",0,0,184,186,0,16,0,10,6,2,1,9,0
11,"2023-09-03 08:46:40","378730.29","70.7536","1272927232","35293918208","28979","10133","73.6724","10702420","563745468","0.58","0.67","0.78",0,0,201,185,0,19,0,10,5,2,1,9,0
12,"2023-09-03 08:46:44","378733.88","70.7536","1273185280","35294303232","31083","10139","73.7787","10702954","563756458","0.53","0.66","0.77",0,0,217,185,0,16,0,10,6,2,1,9,0
13,"2023-09-03 08:46:49","378737.85","70.7536","1273185280","35294598144","33187","10139","73.7577","10703338","563765707","0.81","0.72","0.79",0,0,231,184,0,21,0,10,7,2,1,9,0
14,"2023-09-03 08:46:54","378741.55","70.7536","1273185280","35294868480","35661","10139","73.6871","10703777","563777997","0.75","0.7","0.78",0,0,248,182,0,18,0,10,6,2,1,9,0
15,"2023-09-03 08:46:58","378745.6825","70.7536","1273185280","35295212544","37807","10139","73.7234","10704139","563785883","0.69","0.69","0.78",0,0,266,184,0,20,0,9,6,2,1,9,0
16,"2023-09-03 08:47:03","378749.66","70.7536","1273185280","35295654912","40323","10139","73.6777","10704560","563799387","0.71","0.7","0.78",0,0,284,182,0,21,0,10,7,2,1,9,0
17,"2023-09-03 08:47:07","378753.4875","70.7536","1273185280","35295929344","42427","10139","73.6793","10704931","563807716","0.73","0.7","0.78",0,0,298,186,0,20,0,10,8,2,1,9,0
18,"2023-09-03 08:47:12","378757.21","70.7536","1273185280","35296150528","44531","10139","73.6526","10705358","563819176","0.73","0.7","0.78",0,0,314,182,0,19,0,10,6,2,1,9,0
19,"2023-09-03 08:47:17","378761.0875","70.7536","1273197568","35296445440","46635","10140","73.6917","10705836","563828455","0.76","0.71","0.78",0,0,330,182,0,22,0,10,8,2,1,9,0
20,"2023-09-03 08:47:21","378764.945","70.7536","1273197568","35296805888","49109","10140","73.6483","10706231","563838069","0.7","0.7","0.78",0,0,348,186,0,21,0,10,7,2,1,9,0
21,"2023-09-03 08:47:26","378768.7425","70.7536","1273197568","35297489920","51255","10140","73.6623","10706659","563851397","0.64","0.69","0.78",0,0,363,181,0,18,0,10,6,2,1,9,0
22,"2023-09-03 08:47:30","378772.52","70.7536","1273197568","35297813504","53771","10140","73.6736","10707042","563860342","0.59","0.67","0.77",0,0,381,181,0,18,0,10,6,2,1,9,0
23,"2023-09-03 08:47:35","378776.3175","70.7536","1273197568","35298120704","55875","10140","73.6943","10707469","563871479","0.54","0.66","0.77",0,0,397,181,0,16,0,10,7,2,1,9,0
24,"2023-09-03 08:47:39","378780.03","70.7536","1273197568","35298497536","58349","10140","73.6967","10707828","563883456","0.58","0.67","0.77",0,0,411,181,0,16,0,10,5,2,1,9,0
25,"2023-09-03 08:47:44","378783.7275","70.7536","1273197568","35298796544","60593","10140","73.5658","10708389","563893555","0.53","0.66","0.76",0,0,427,178,0,15,0,10,8,2,1,9,0
26,"2023-09-03 08:47:48","378787.39","70.7536","1273197568","35299128320","63067","10140","73.6448","10708784","563902410","0.49","0.65","0.76",0,0,442,178,0,15,0,10,7,2,1,9,0
27,"2023-09-03 08:47:53","378791.125","70.7536","1273197568","35299480576","65583","10140","73.6816","10709212","563915767","0.45","0.64","0.76",0,0,461,178,0,18,0,10,7,2,1,9,0
28,"2023-09-03 08:47:57","378795.2325","70.7536","1273197568","35299709952","68057","10140","73.6773","10709562","563923738","0.41","0.62","0.75",0,0,479,178,0,18,0,10,6,2,1,9,0
